boat_type,manufacturer,model_year,length_ft,beam_ft,engine_hp,hull_material,condition,location,days_on_lot,sale_month,sale_price
Deck Boat,Boston Whaler,2022,24.3,7.9,244,Fiberglass,Good,Rockport,151,5,52500
Bay Boat,Sea Hunt,2024,21.1,7.2,95,Fiberglass,Excellent,Corpus Christi,39,8,48700
Center Console,Robalo,2017,23.9,8.1,194,Fiberglass,Good,Port Isabel,174,4,48000
Deck Boat,Grady-White,2015,20.5,5.9,449,Fiberglass,Good,Corpus Christi,139,6,69600
Bowrider,Bennington,2017,16.0,5.8,92,Fiberglass,New,South Padre Island,106,7,44000
Center Console,Chaparral,2010,28.1,10.0,417,Aluminum,Excellent,Rockport,92,8,60200
Bowrider,Boston Whaler,2017,22.0,7.7,269,Aluminum,Excellent,Galveston,129,11,57600
Bowrider,Robalo,2010,22.9,7.6,294,Fiberglass,Good,Rockport,80,5,40400
Bay Boat,Bennington,2010,17.2,5.5,425,Fiberglass,Excellent,Rockport,82,10,45100
Pontoon,Bayliner,2018,27.7,8.9,156,Aluminum,Good,Port Isabel,44,5,34300
Center Console,Nautic Star,2017,18.4,5.2,444,Fiberglass,Excellent,South Padre Island,35,7,68000
Pontoon,Chaparral,2024,21.7,6.9,178,Aluminum,Good,Port Isabel,178,9,37000
Pontoon,Mako,2017,27.8,9.2,205,Fiberglass,New,Galveston,151,8,53700
Bay Boat,Mako,2024,22.4,7.5,243,Aluminum,Fair,Port Isabel,91,10,37500
Center Console,Nautic Star,2022,29.0,8.9,300,Aluminum,Good,Rockport,167,9,51200
Bowrider,Bennington,2015,18.9,6.0,196,Fiberglass,Excellent,Corpus Christi,123,4,39300
Deck Boat,Bayliner,2023,26.0,8.6,372,Fiberglass,Excellent,Galveston,121,12,61300
Bowrider,Boston Whaler,2017,29.7,9.3,82,Fiberglass,Excellent,Port Isabel,26,11,48900
Pontoon,Mako,2018,23.7,8.5,324,Fiberglass,Excellent,Corpus Christi,109,6,54900
Pontoon,Grady-White,2011,25.7,8.6,321,Fiberglass,Good,Port Isabel,26,1,43900
Pontoon,Sea Hunt,2013,21.5,6.0,275,Aluminum,Fair,Corpus Christi,138,5,31600
Center Console,Tracker,2017,26.5,7.5,305,Fiberglass,Good,Port Isabel,18,9,54600
Bay Boat,Tracker,2014,28.7,9.6,355,Fiberglass,Good,Rockport,105,12,48100
Deck Boat,Bennington,2018,25.8,8.1,414,Aluminum,Excellent,Corpus Christi,76,9,60300
Deck Boat,Mako,2011,29.1,10.1,156,Fiberglass,Good,Rockport,30,5,36600
Center Console,Tracker,2013,24.2,7.1,253,Fiberglass,Good,Corpus Christi,97,2,49800
Deck Boat,Mako,2019,24.1,6.8,285,Aluminum,Excellent,Galveston,44,6,54900
Center Console,Mako,2019,20.3,6.3,204,Fiberglass,Fair,Port Isabel,52,5,38600
Pontoon,Tracker,2024,25.9,8.8,440,Fiberglass,Excellent,Port Aransas,178,3,65000
Pontoon,Bayliner,2023,28.3,10.1,266,Fiberglass,Good,Port Aransas,73,2,44600
Bowrider,Chaparral,2022,25.0,8.8,297,Aluminum,Fair,South Padre Island,83,3,37700
Pontoon,Boston Whaler,2010,19.3,6.2,148,Fiberglass,Good,South Padre Island,6,4,39600
Bay Boat,Sea Hunt,2019,23.6,8.1,230,Fiberglass,Excellent,Corpus Christi,63,8,45600
Bowrider,Mako,2013,26.6,7.6,309,Fiberglass,Good,South Padre Island,73,5,48000
Deck Boat,Boston Whaler,2014,29.2,9.5,235,Fiberglass,New,Port Aransas,145,6,70600
Bay Boat,Boston Whaler,2013,18.2,6.4,363,Aluminum,Good,Corpus Christi,28,7,59600
Bowrider,Mako,2016,17.8,5.5,126,Fiberglass,Excellent,Port Aransas,186,12,34500
Bay Boat,Bennington,2011,21.8,7.8,132,Aluminum,Good,Corpus Christi,30,8,28500
Center Console,Tracker,2017,17.8,5.3,202,Fiberglass,Fair,Port Isabel,132,7,33100
Deck Boat,Bayliner,2012,29.7,8.6,194,Fiberglass,Excellent,Port Isabel,5,8,40300
Pontoon,Sea Hunt,2017,21.9,7.1,380,Aluminum,Excellent,South Padre Island,164,8,44900
Center Console,Grady-White,2019,23.5,8.3,400,Fiberglass,Good,Port Isabel,140,8,75300
Deck Boat,Bayliner,2012,19.2,5.9,251,Fiberglass,Excellent,South Padre Island,168,6,38500
Center Console,Tracker,2011,22.3,7.7,264,Aluminum,Excellent,Port Isabel,186,7,41800
Pontoon,Grady-White,2022,29.8,8.7,185,Fiberglass,New,Port Aransas,167,6,67600
Deck Boat,Bayliner,2021,22.8,7.7,274,Fiberglass,Excellent,Port Aransas,126,5,59900
Bay Boat,Bayliner,2013,16.1,5.2,339,Aluminum,Good,Rockport,168,4,35800
Bay Boat,Bayliner,2023,19.4,5.7,345,Fiberglass,Good,Port Aransas,23,5,60300
Deck Boat,Nautic Star,2013,29.7,10.0,438,Fiberglass,Excellent,Rockport,130,6,54200
Pontoon,Sea Hunt,2023,29.8,10.0,291,Fiberglass,Good,South Padre Island,197,7,48400
Bowrider,Chaparral,2011,18.9,6.1,202,Fiberglass,Excellent,South Padre Island,78,6,36800
Deck Boat,Robalo,2019,24.6,7.3,101,Fiberglass,Excellent,South Padre Island,195,2,52300
Center Console,Tracker,2010,17.1,5.0,332,Fiberglass,Good,Rockport,103,5,43200
Bowrider,Grady-White,2012,24.1,8.6,376,Fiberglass,Excellent,Corpus Christi,96,5,61200
Pontoon,Sea Hunt,2016,17.8,5.9,282,Fiberglass,Good,Rockport,63,8,36200
Pontoon,Grady-White,2011,27.5,9.5,421,Fiberglass,Fair,Rockport,26,5,44800
Center Console,Mako,2016,29.2,9.8,193,Fiberglass,Good,Rockport,175,1,43500
Bay Boat,Grady-White,2013,18.4,6.4,94,Fiberglass,Good,Port Isabel,145,2,36700
Pontoon,Tracker,2011,22.5,6.6,312,Fiberglass,New,Rockport,83,6,51100
Bowrider,Robalo,2024,17.4,5.6,120,Fiberglass,Excellent,Galveston,192,3,45400
Deck Boat,Chaparral,2024,20.7,6.9,106,Fiberglass,New,South Padre Island,40,6,52500
Bowrider,Tracker,2024,16.9,4.9,338,Aluminum,Good,South Padre Island,156,7,52900
Bowrider,Chaparral,2012,19.7,5.8,237,Fiberglass,Good,Rockport,93,11,32500
Bay Boat,Sea Hunt,2015,29.9,9.9,301,Fiberglass,Excellent,South Padre Island,126,7,56400
Bowrider,Sea Hunt,2014,16.6,5.8,355,Aluminum,Excellent,Galveston,12,1,50100
Bay Boat,Mako,2014,28.0,9.3,218,Fiberglass,Excellent,Corpus Christi,124,5,47600
Bay Boat,Bennington,2016,17.1,4.8,304,Fiberglass,Good,Port Aransas,137,9,44700
Pontoon,Chaparral,2017,23.4,8.4,277,Fiberglass,Good,Port Aransas,195,4,35800
Pontoon,Mako,2017,22.3,6.5,292,Fiberglass,Good,South Padre Island,72,11,36900
Center Console,Nautic Star,2014,29.0,8.7,338,Fiberglass,Fair,Galveston,19,6,45500
Bowrider,Bennington,2024,18.8,6.7,217,Fiberglass,Excellent,Rockport,17,2,61700
Center Console,Grady-White,2024,18.5,6.3,264,Fiberglass,Good,South Padre Island,34,4,76500
Bowrider,Sea Hunt,2014,26.5,9.4,296,Aluminum,Good,Corpus Christi,63,11,41900
Center Console,Sea Hunt,2013,26.2,9.0,127,Aluminum,Excellent,Galveston,167,12,40900
Pontoon,Chaparral,2017,25.8,8.6,154,Fiberglass,Fair,Corpus Christi,43,10,28600
Pontoon,Nautic Star,2015,16.4,5.0,108,Fiberglass,New,Port Isabel,33,5,43900
Pontoon,Mako,2024,19.6,6.0,149,Fiberglass,Good,Rockport,11,9,38100
Pontoon,Sea Hunt,2016,27.8,9.9,239,Aluminum,Good,Port Aransas,79,4,44200
Deck Boat,Nautic Star,2010,24.4,8.5,426,Fiberglass,Fair,Port Aransas,122,5,38500
Pontoon,Nautic Star,2011,24.4,7.5,421,Fiberglass,Good,Corpus Christi,59,8,43800
Bay Boat,Nautic Star,2011,20.1,6.2,361,Fiberglass,Excellent,South Padre Island,101,12,44300
Pontoon,Grady-White,2015,19.6,6.0,284,Fiberglass,Good,Corpus Christi,52,6,45500
Deck Boat,Bennington,2014,29.3,9.0,150,Fiberglass,Good,Port Isabel,161,6,34400
Deck Boat,Bennington,2022,26.2,9.1,209,Fiberglass,Good,Corpus Christi,10,4,42600
Deck Boat,Mako,2023,17.8,5.0,362,Fiberglass,Good,Galveston,44,5,45600
Deck Boat,Nautic Star,2012,29.1,9.2,415,Aluminum,Excellent,Galveston,115,2,54000
Center Console,Bennington,2024,24.2,8.6,435,Fiberglass,Good,Port Aransas,169,10,58100
Center Console,Boston Whaler,2018,20.7,6.7,220,Fiberglass,Fair,Rockport,83,1,44000
Bay Boat,Boston Whaler,2014,21.6,6.8,257,Fiberglass,Excellent,Corpus Christi,18,8,59800
Center Console,Mako,2016,26.2,8.0,265,Fiberglass,Good,Port Isabel,112,4,49400
Deck Boat,Mako,2016,21.3,6.1,96,Fiberglass,Fair,Rockport,57,6,25500
Pontoon,Bennington,2012,24.1,7.2,118,Fiberglass,Good,Galveston,64,4,28000
Pontoon,Boston Whaler,2023,25.9,7.4,91,Fiberglass,Fair,Port Isabel,184,5,40500
Deck Boat,Grady-White,2010,18.7,5.4,351,Fiberglass,Excellent,South Padre Island,188,7,52100
Bowrider,Mako,2011,29.2,8.6,159,Fiberglass,Fair,Port Aransas,55,7,26800
Deck Boat,Nautic Star,2014,21.0,6.4,337,Fiberglass,Excellent,Corpus Christi,120,11,45600
Center Console,Tracker,2012,21.9,6.2,215,Fiberglass,Good,Port Isabel,110,5,37300
Pontoon,Grady-White,2010,25.8,9.2,372,Fiberglass,Good,South Padre Island,192,7,45400
Deck Boat,Robalo,2015,24.5,7.1,118,Fiberglass,Good,Rockport,189,11,32400
Pontoon,Tracker,2015,22.2,6.9,196,Fiberglass,Fair,Port Aransas,73,5,28000
Deck Boat,Mako,2011,25.1,8.8,151,Fiberglass,Good,Port Isabel,9,10,32000
Deck Boat,Bennington,2022,28.6,8.3,238,Aluminum,Good,Port Isabel,5,12,47600
Center Console,Boston Whaler,2023,27.2,8.7,285,Aluminum,Excellent,Port Aransas,5,10,84900
Deck Boat,Tracker,2020,27.5,9.6,138,Aluminum,Good,South Padre Island,157,7,42700
Pontoon,Bayliner,2017,19.6,6.4,325,Fiberglass,Good,Rockport,149,8,46300
Bay Boat,Grady-White,2024,21.9,6.5,436,Fiberglass,New,Port Aransas,166,6,101900
Pontoon,Boston Whaler,2015,23.8,8.1,91,Fiberglass,Good,Corpus Christi,32,7,39100
Center Console,Robalo,2016,16.6,5.6,107,Aluminum,Fair,Port Aransas,16,12,28100
Bay Boat,Boston Whaler,2010,26.8,8.3,432,Aluminum,Good,Galveston,38,4,68100
Deck Boat,Bayliner,2020,20.5,5.8,318,Aluminum,Good,Corpus Christi,126,9,41700
Bowrider,Mako,2011,20.0,5.6,419,Aluminum,Excellent,South Padre Island,6,6,47400
Bay Boat,Chaparral,2019,19.6,6.8,339,Fiberglass,Good,Port Isabel,133,3,56500
Bay Boat,Bennington,2021,20.0,6.1,343,Aluminum,New,Corpus Christi,178,7,60900
Deck Boat,Grady-White,2013,20.7,6.0,134,Aluminum,Excellent,Corpus Christi,33,9,42500
Bowrider,Tracker,2019,24.5,7.9,266,Fiberglass,Good,South Padre Island,149,7,41900
Bowrider,Bayliner,2014,24.2,8.6,211,Aluminum,Excellent,Corpus Christi,112,9,45400
Center Console,Sea Hunt,2015,19.6,5.5,387,Fiberglass,New,Corpus Christi,189,5,76400
Bay Boat,Bennington,2017,18.9,5.4,91,Aluminum,Good,Port Aransas,52,11,33000
Bowrider,Chaparral,2013,27.6,8.6,81,Aluminum,Excellent,Corpus Christi,49,7,40000
Center Console,Chaparral,2021,17.3,5.8,283,Fiberglass,Excellent,Rockport,8,9,54300
Bowrider,Tracker,2015,23.2,7.4,438,Fiberglass,Excellent,Corpus Christi,142,4,71700
Bay Boat,Tracker,2016,23.3,8.2,448,Fiberglass,Good,Galveston,174,6,57200
Bowrider,Chaparral,2022,24.0,6.8,297,Aluminum,Excellent,Rockport,8,11,51200
Bay Boat,Boston Whaler,2013,28.4,8.7,236,Aluminum,Good,Galveston,100,2,52500
Deck Boat,Mako,2016,24.7,7.6,177,Fiberglass,Good,Galveston,146,5,37700
Pontoon,Bayliner,2024,29.6,9.1,446,Aluminum,New,South Padre Island,157,9,70900
Center Console,Bayliner,2015,28.2,9.0,143,Fiberglass,Fair,Port Isabel,186,8,26100
Deck Boat,Grady-White,2011,19.0,6.5,122,Fiberglass,New,Corpus Christi,145,10,43400
Deck Boat,Chaparral,2014,19.4,5.9,265,Fiberglass,Good,Corpus Christi,184,8,32300
Pontoon,Tracker,2024,20.8,7.1,222,Fiberglass,Excellent,Port Isabel,198,11,36600
Bowrider,Chaparral,2021,21.5,6.3,260,Fiberglass,Good,Corpus Christi,185,6,45000
Pontoon,Nautic Star,2022,23.7,7.7,413,Fiberglass,Excellent,Port Aransas,90,7,55300
Deck Boat,Bayliner,2013,19.3,6.0,176,Fiberglass,Fair,Port Aransas,84,10,22900
Deck Boat,Bennington,2022,19.1,6.2,403,Fiberglass,Excellent,Corpus Christi,88,8,43700
Deck Boat,Bennington,2015,21.3,6.1,154,Aluminum,Good,Corpus Christi,190,2,31500
Bowrider,Bennington,2021,25.4,9.0,196,Fiberglass,Excellent,Galveston,59,5,52100
Bay Boat,Tracker,2023,25.6,9.0,76,Aluminum,New,Galveston,151,7,50700
Center Console,Chaparral,2013,29.7,10.3,329,Fiberglass,Excellent,Corpus Christi,126,8,56100
Bay Boat,Bennington,2024,18.8,6.6,396,Fiberglass,Good,Port Isabel,17,7,62700
Center Console,Bennington,2019,21.5,6.3,407,Fiberglass,Good,Corpus Christi,99,9,55400
Center Console,Robalo,2020,29.5,9.4,137,Fiberglass,Fair,Rockport,42,9,40600
Center Console,Mako,2021,25.7,7.8,362,Fiberglass,Good,Rockport,147,4,64300
Pontoon,Bennington,2012,24.3,8.5,128,Fiberglass,Fair,Galveston,92,7,21400
Pontoon,Mako,2021,23.6,7.0,310,Fiberglass,Excellent,South Padre Island,74,7,54000
Pontoon,Nautic Star,2013,17.1,5.1,338,Fiberglass,Good,Corpus Christi,17,4,43500
Deck Boat,Mako,2014,28.5,9.5,132,Fiberglass,Good,Port Aransas,30,6,34300
Pontoon,Sea Hunt,2011,24.8,7.1,116,Fiberglass,Good,Port Isabel,153,7,25800
Center Console,Bayliner,2012,24.0,8.1,102,Aluminum,Fair,South Padre Island,173,9,25400
Bowrider,Grady-White,2024,23.6,7.1,340,Fiberglass,Good,Corpus Christi,61,6,58300
Deck Boat,Bayliner,2014,21.5,7.2,305,Aluminum,Fair,Rockport,166,2,30100
Bowrider,Grady-White,2015,19.6,6.9,119,Aluminum,Good,Rockport,112,6,37300
Center Console,Nautic Star,2017,26.6,8.7,262,Aluminum,New,Corpus Christi,73,9,63700
Deck Boat,Grady-White,2020,23.1,6.9,373,Aluminum,Good,Corpus Christi,93,7,61100
Pontoon,Grady-White,2018,16.5,4.7,164,Fiberglass,Good,Corpus Christi,139,5,44500
Deck Boat,Grady-White,2018,21.6,6.1,302,Fiberglass,Fair,Corpus Christi,182,11,37000
Deck Boat,Nautic Star,2022,29.0,8.3,184,Fiberglass,Good,Galveston,101,3,42200
Center Console,Tracker,2017,21.2,6.9,172,Aluminum,New,Corpus Christi,72,5,59000
Bay Boat,Nautic Star,2021,21.8,6.7,222,Fiberglass,New,Galveston,153,6,57400
Bay Boat,Bayliner,2023,24.7,7.4,207,Fiberglass,New,Port Aransas,107,8,58500
Bay Boat,Boston Whaler,2020,27.2,8.1,260,Aluminum,Good,Port Isabel,81,9,48900
Pontoon,Tracker,2010,25.4,9.0,152,Fiberglass,New,Rockport,94,2,41200
Pontoon,Bayliner,2013,27.9,8.1,221,Fiberglass,Good,South Padre Island,109,9,38400
Pontoon,Nautic Star,2019,17.6,5.4,308,Fiberglass,Good,South Padre Island,32,8,37400
Bay Boat,Nautic Star,2017,28.9,9.2,220,Fiberglass,Good,Corpus Christi,16,10,45500
Bowrider,Grady-White,2014,28.7,8.0,321,Fiberglass,Excellent,Corpus Christi,134,11,59500
Center Console,Chaparral,2015,23.3,8.2,118,Aluminum,Good,Galveston,39,9,29800
Bay Boat,Nautic Star,2011,24.7,7.1,126,Fiberglass,New,Corpus Christi,108,4,41400
Center Console,Chaparral,2013,19.0,6.4,399,Fiberglass,Fair,Galveston,157,5,37000
Bay Boat,Boston Whaler,2021,22.3,7.4,248,Fiberglass,Excellent,South Padre Island,46,11,62600
Bowrider,Sea Hunt,2010,18.8,6.5,303,Fiberglass,New,Corpus Christi,79,7,52300
Bay Boat,Tracker,2022,16.3,5.4,352,Fiberglass,Excellent,Galveston,195,6,67600
Bowrider,Robalo,2015,29.7,10.1,129,Aluminum,Good,Galveston,11,11,34500
Deck Boat,Robalo,2022,19.6,6.1,439,Aluminum,New,Rockport,152,10,72600
Pontoon,Tracker,2013,24.3,7.8,233,Fiberglass,Good,Port Aransas,37,8,32200
Deck Boat,Bayliner,2022,20.2,6.8,408,Fiberglass,Good,Galveston,181,10,44300
Bay Boat,Mako,2018,21.2,6.9,231,Fiberglass,Good,Port Isabel,85,3,44500
Pontoon,Sea Hunt,2022,21.6,6.9,227,Fiberglass,Excellent,Port Aransas,6,8,46900
Bowrider,Chaparral,2010,20.7,6.1,300,Fiberglass,New,Port Isabel,144,12,42300
Bay Boat,Nautic Star,2021,24.9,7.5,146,Fiberglass,Excellent,Rockport,33,1,48600
Pontoon,Sea Hunt,2014,29.5,9.1,303,Fiberglass,Excellent,South Padre Island,75,4,45100
Bay Boat,Grady-White,2015,22.0,6.2,443,Aluminum,Good,Port Isabel,102,9,59200
Pontoon,Mako,2010,29.6,9.3,316,Fiberglass,Excellent,Port Isabel,150,6,49800
Pontoon,Grady-White,2024,25.3,7.1,101,Aluminum,Excellent,Port Aransas,86,2,55700
Deck Boat,Sea Hunt,2019,24.5,8.0,336,Fiberglass,New,Port Isabel,172,4,67900
Pontoon,Sea Hunt,2024,19.3,6.5,87,Aluminum,Good,Corpus Christi,98,5,35100
Bay Boat,Tracker,2018,16.9,5.5,113,Fiberglass,Excellent,Corpus Christi,71,5,41400
Center Console,Bayliner,2012,27.9,9.4,181,Fiberglass,Good,Corpus Christi,70,10,38400
Center Console,Bennington,2015,24.0,6.7,189,Aluminum,New,South Padre Island,161,8,54300
Deck Boat,Nautic Star,2016,21.8,6.2,76,Aluminum,Fair,Port Isabel,134,8,23500
Bowrider,Sea Hunt,2012,27.4,9.2,81,Fiberglass,Good,Galveston,29,1,31400
Center Console,Bennington,2023,20.3,7.0,370,Fiberglass,Excellent,Galveston,151,6,59500
Deck Boat,Sea Hunt,2024,27.0,9.1,245,Fiberglass,New,Corpus Christi,85,5,63900
Pontoon,Robalo,2018,20.6,6.9,149,Fiberglass,Excellent,Galveston,73,10,43100
Bay Boat,Bayliner,2018,28.9,9.7,236,Fiberglass,Excellent,South Padre Island,24,12,55000
Pontoon,Bayliner,2020,19.8,6.7,334,Aluminum,Excellent,South Padre Island,199,6,51800
Bay Boat,Grady-White,2020,17.9,6.0,350,Fiberglass,Fair,Port Aransas,15,12,52300
Bowrider,Chaparral,2010,25.8,8.7,183,Fiberglass,Good,Port Aransas,199,1,34100
Deck Boat,Bennington,2017,18.3,5.2,137,Fiberglass,Excellent,Port Isabel,17,5,39900
Deck Boat,Nautic Star,2021,29.3,8.4,434,Fiberglass,Good,Galveston,103,9,48500
Center Console,Bennington,2022,25.2,7.8,311,Fiberglass,Excellent,South Padre Island,25,5,73500
Deck Boat,Grady-White,2018,19.2,6.2,443,Fiberglass,Fair,Corpus Christi,101,11,49200
Bowrider,Robalo,2023,18.9,6.4,190,Fiberglass,New,Rockport,167,4,75400
Center Console,Bennington,2018,28.9,8.9,116,Fiberglass,Good,South Padre Island,120,9,45600
Pontoon,Sea Hunt,2015,24.5,7.4,218,Aluminum,Good,South Padre Island,111,4,33900
Deck Boat,Boston Whaler,2016,28.5,9.8,197,Fiberglass,New,Rockport,28,4,63200
Pontoon,Mako,2020,17.5,5.2,344,Aluminum,Excellent,Corpus Christi,189,6,39500
Pontoon,Nautic Star,2023,29.0,10.0,343,Fiberglass,Excellent,Galveston,78,11,59600
Deck Boat,Nautic Star,2013,23.3,6.9,101,Fiberglass,Fair,Port Isabel,109,7,25100
Bay Boat,Bayliner,2014,25.4,7.8,295,Fiberglass,Good,South Padre Island,180,7,43600
Pontoon,Chaparral,2019,21.2,6.6,203,Fiberglass,Good,Corpus Christi,127,1,33600
Center Console,Nautic Star,2021,16.8,5.1,305,Fiberglass,Good,Port Aransas,148,2,50200
Deck Boat,Grady-White,2015,29.4,8.2,221,Fiberglass,Good,Corpus Christi,40,2,50500
Center Console,Bayliner,2019,29.9,8.9,276,Fiberglass,Good,Galveston,94,9,52300
Pontoon,Sea Hunt,2010,21.1,6.5,343,Fiberglass,Good,South Padre Island,110,4,39700
Pontoon,Mako,2014,29.2,8.9,185,Fiberglass,Good,Corpus Christi,39,5,39200
Center Console,Chaparral,2024,18.3,6.3,149,Fiberglass,Excellent,Rockport,80,7,50400
Pontoon,Boston Whaler,2018,18.2,5.2,339,Fiberglass,Fair,Port Aransas,167,7,45900
Deck Boat,Sea Hunt,2023,17.0,5.3,430,Fiberglass,New,South Padre Island,186,6,76700
Pontoon,Sea Hunt,2013,21.5,6.1,241,Fiberglass,Excellent,Port Isabel,165,1,35600
Center Console,Bayliner,2014,16.7,5.9,449,Fiberglass,Good,Corpus Christi,187,6,57800
Center Console,Boston Whaler,2024,21.5,7.4,144,Fiberglass,Excellent,Port Aransas,199,8,68300
Deck Boat,Boston Whaler,2024,17.9,6.4,382,Aluminum,New,Port Aransas,43,4,96200
Center Console,Nautic Star,2023,26.2,9.2,445,Fiberglass,Excellent,Galveston,171,8,72100
Bay Boat,Boston Whaler,2014,27.7,8.5,187,Fiberglass,Good,Port Aransas,125,1,54600
Pontoon,Nautic Star,2022,25.6,8.6,130,Aluminum,Good,Port Isabel,172,11,31000
Center Console,Grady-White,2016,18.8,5.7,323,Fiberglass,New,Corpus Christi,129,12,81000
Pontoon,Mako,2022,26.7,9.4,401,Aluminum,New,Port Isabel,29,1,67500
Center Console,Grady-White,2022,19.5,6.1,106,Aluminum,Good,Galveston,114,6,53700
Center Console,Robalo,2016,26.6,8.2,315,Fiberglass,Fair,Corpus Christi,153,6,44700
Deck Boat,Bennington,2014,23.9,8.4,401,Fiberglass,Excellent,Corpus Christi,29,10,46300
Pontoon,Robalo,2024,21.1,7.3,87,Fiberglass,Fair,Corpus Christi,103,7,30200
Center Console,Bennington,2016,17.2,6.1,268,Aluminum,Fair,Port Aransas,132,7,37000
Bay Boat,Robalo,2016,27.6,7.9,103,Fiberglass,Excellent,Port Aransas,95,4,46900
Bowrider,Boston Whaler,2019,29.2,8.7,141,Fiberglass,Good,Galveston,160,2,48700
Bowrider,Sea Hunt,2024,25.3,7.7,257,Fiberglass,Good,Port Aransas,29,8,46400
Deck Boat,Robalo,2011,29.5,9.3,197,Fiberglass,Good,Rockport,72,7,41100
Deck Boat,Grady-White,2024,29.1,9.2,106,Aluminum,Excellent,Port Aransas,190,9,61700
Bay Boat,Mako,2016,18.7,5.7,375,Fiberglass,Good,Port Aransas,105,10,37300
Pontoon,Sea Hunt,2010,26.2,9.0,151,Fiberglass,Good,Port Aransas,40,7,36300
Deck Boat,Bennington,2014,20.9,6.2,401,Aluminum,Good,Port Aransas,27,6,47900
Bay Boat,Tracker,2016,22.8,7.7,141,Fiberglass,Fair,Port Isabel,120,11,28800
Center Console,Tracker,2020,18.2,6.3,269,Fiberglass,Good,Port Aransas,186,9,43100
Center Console,Nautic Star,2018,29.6,9.7,347,Aluminum,Good,Port Aransas,14,10,52300
Bowrider,Bayliner,2012,26.2,8.1,255,Aluminum,Fair,Port Isabel,26,12,31500
Deck Boat,Sea Hunt,2017,19.7,5.8,231,Aluminum,Excellent,Galveston,78,5,42800
Deck Boat,Bayliner,2013,21.2,6.2,356,Fiberglass,New,Port Aransas,45,8,52700
Deck Boat,Nautic Star,2014,21.9,7.4,79,Fiberglass,Excellent,Port Isabel,28,8,36200
Pontoon,Robalo,2020,26.5,8.4,384,Fiberglass,Fair,Port Aransas,63,3,39600
Center Console,Tracker,2022,29.0,8.2,333,Aluminum,Excellent,Corpus Christi,130,7,67800
Center Console,Grady-White,2012,20.5,7.4,361,Fiberglass,Good,South Padre Island,166,6,54200
Bay Boat,Mako,2019,22.6,7.5,232,Fiberglass,New,Rockport,64,6,56200
Deck Boat,Tracker,2016,24.3,8.4,219,Fiberglass,Excellent,Port Aransas,141,3,53700
